-----
{
 "description": "This table consists year-wise production of petroleum products during 2004-05 to 2011-12 in India.", 
 "file_name": "Production_of_Petroleum_Products_2004-12.xls", 
 "title": "Production of Petroleum Products: 2004-12 ", 
 "url": "http://data.gov.in/sites/default/files/Production_of_Petroleum_Products_2004-12.xls"
}
-----
"Production","Products","Product Name","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*"
"From Crude Oil","Light Distillates","LPG",5570.0,5525.0,6315.0,6732.0,6996.0,8091.196,7540.833,7334.779
"From Crude Oil","Light Distillates","Motor Spirit",11057.0,10502.0,12539.0,14167.0,16020.0,22536.501,26137.688,26890.15
"From Crude Oil","Light Distillates","Naphtha",14100.0,14509.0,16660.0,16440.0,14826.0,17105.072,17535.362,17175.912
"From Crude Oil","Light Distillates","SBPS / Hexane",81.0,98.0,79.0,82.0,81.0,67.0,78.152,80.379
"From Crude Oil","Light Distillates","Others",2138.0,1891.0,2590.0,2772.0,2380.0,3396.732,3905.355,6522.968
"From Crude Oil","Middle Distillates","Kerosene",9298.0,9078.0,8491.0,7794.0,8223.0,8545.164,7701.753,7474.879
"From Crude Oil","Middle Distillates","ATF",5201.0,6196.0,7805.0,9107.0,8071.0,9296.236,9569.782,10056.626
"From Crude Oil","Middle Distillates","HSD",45903.0,47572.0,53465.0,58361.0,62889.0,73281.066,78039.719,81900.844
"From Crude Oil","Middle Distillates","LDO",1546.0,923.0,803.0,671.0,606.0,472.034,589.822,502.167
"From Crude Oil","Middle Distillates","Others",561.0,663.0,661.0,716.0,520.0,2195.252,3869.869,3558.481
"From Crude Oil","Heavy Ends","Furnace Oil",10560.0,10320.0,12325.0,12638.0,14749.0,15828.069,18658.615,17754.989
"From Crude Oil","Heavy Ends","LSHS/HHS/RFO",4410.0,3985.0,3372.0,3166.0,2935.0,2518.362,1860.28,1700.853
"From Crude Oil","Heavy Ends","Total Fuel Oils",14970.0,14305.0,15697.0,15804.0,17684.0,18346.431,20518.895,19455.842
"From Crude Oil","Heavy Ends","Lube Oils",646.0,677.0,825.0,881.0,874.0,950.354,883.578,993.739
"From Crude Oil","Heavy Ends","Bitumen",3349.0,3576.0,3891.0,4507.0,4713.0,4888.841,4478.483,4610.134
"From Crude Oil","Heavy Ends","Petroleum Coke",3162.0,3182.0,3779.0,4129.0,4241.0,3709.009,2711.381,4479.994
"From Crude Oil","Heavy Ends","Paraffin Wax",64.0,63.0,63.0,64.0,69.0,63.802,60.908,81.14
"From Crude Oil","Heavy Ends","Other Waxes",4.0,3.0,5.0,7.0,5.0,3.066,6.149,7.009
"From Crude Oil","Heavy Ends","Total Waxes",68.0,66.0,68.0,71.0,74.0,66.868,67.057,88.149
"From Crude Oil","Heavy Ends","Others",1010.0,1085.0,1671.0,2778.0,2399.0,6753.375,6636.85,5582.152
"From Crude Oil","Crude Throughput","Crude Throughput",127416.0,130109.0,146551.0,156103.0,160772.0,192768.0,206003.035,211423.976
"From Natural Gas","LPG","LPG",2240.0,2185.0,2093.0,2060.0,2162.0,2243.0,2167.507,2213.451
